source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-3-4-2025,adidas-metalbone-carbon-3-4-2025,Adidas Metalbone Carbon 3.4 2025,Adidas,,2025-02-12T17:16:09.006Z,8.4,8.4,8.1,9.7,7.9,7.8
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-ctrl-2024,adidas-metalbone-carbon-ctrl-2024,Adidas Metalbone Carbon CTRL 2024,Adidas,,2023-12-20T12:21:25.237Z,8.5,7.0,8.5,9.4,9.0,8.5
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-ctrl-2026,adidas-metalbone-carbon-ctrl-2026,Adidas Metalbone Carbon CTRL 2026,Adidas,,2025-12-08T12:37:01.142Z,8.6,6.9,8.6,9.7,9.2,8.4
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-ctrl-3-4-2025,adidas-metalbone-carbon-ctrl-3-4-2025,Adidas Metalbone Carbon CTRL 3.4 2025,Adidas,,2025-02-12T15:22:07.743Z,8.5,6.9,8.7,9.4,8.8,8.5
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-ctrl-2026,adidas-metalbone-ctrl-2026,Adidas Metalbone CTRL 2026,Adidas,,2025-12-08T12:45:37.528Z,8.5,8.0,8.3,9.3,7.9,9.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-ctrl-3-1-2022,adidas-metalbone-ctrl-3-1-2022,Adidas Metalbone CTRL 3.1 2022,Adidas,,2022-08-05T20:20:46.508Z,8.6,8.0,8.3,9.5,7.9,9.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-ctrl-3-2-2023,adidas-metalbone-ctrl-3-2-2023,Adidas Metalbone CTRL 3.2 2023,Adidas,,2023-08-01T20:58:40.509Z,8.7,8.1,8.7,9.5,8.0,9.0
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-ctrl-3-3-2024,adidas-metalbone-ctrl-3-3-2024,Adidas Metalbone CTRL 3.3 2024,Adidas,,2023-12-20T11:49:38.873Z,8.5,7.8,8.5,9.5,8.0,8.9
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-ctrl-3-4-2025,adidas-metalbone-ctrl-3-4-2025,Adidas Metalbone CTRL 3.4 2025,Adidas,,2025-02-12T15:14:42.098Z,8.6,7.8,8.7,9.5,7.8,9.2
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-greenpadel-2022,adidas-metalbone-greenpadel-2022,Adidas Metalbone Greenpadel 2022,Adidas,,2022-08-07T14:24:43.649Z,8.1,8.1,8.1,8.4,8.1,7.6
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-hrd-2024,adidas-metalbone-hrd-2024,Adidas Metalbone HRD+ 2024,Adidas,,2023-12-20T12:14:09.507Z,8.7,10.0,9.5,8.0,8.1,8.1
padelful,https://www.padelful.com/en/rackets/adidas-metalbone-hrd-2026-ale-galan,adidas-metalbone-hrd-2026-ale-galan,Adidas Metalbone HRD+ 2026 - Ale Galan,Adidas,,2025-12-08T13:01:25.969Z,8.7,9.9,9.4,8.0,8.0,8.1
